Product,Date,Campaign Name,Target Audience,Message,Total,Delivered,Read,Failed,Pending,Status
Shubh Savings Account,9th Nov,Shubh Renewal Eng,Non Renewal Customers,,4133,3870,1310,2,261,Completed
Shubh Savings Account,9th Nov,Shubh Renewal Hindi,Non Renewal Customers,,28118,26191,8713,30,1897,Completed
FinoPay,10th Nov,Dhanteras_Digi_Gold,Active Customers,,49949,47461,16137,104,2384,Completed
Shubh Savings Account,13th Nov,Shubh Renewal Eng,Non Renewal Customers,,3933,3683,978,4,246,Completed
Shubh Savings Account,13th Nov,Shubh Renewal Hin,Non Renewal Customers,,26841,24800,5792,36,2005,Completed
FinoPay,15th Nov,100% cashback november_15thNov23_Mp,FinoPay Refer & Earn,,33195,32201,10486,70,924,Completed
FinoPay,16th Nov,RCS campaigns for Funding and VKYC_16thNov22_1,Non Funded Customers,,10982,10229,2429,12,741,Completed
FinoPay,20th Nov,rekyc through vkyc,ReKyc Pending Customers,,20175,19027,4700,15,1133,Completed
Bhavishya Account,23rd Nov,Bhavishya_newly_onboarded,Newly Onboarded Customers,,24763,22795,6649,33,1935,Completed
Bhavishya Account,23rd Nov,Bhavishya renewal,Renewal Pending Customers,,14231,13301,3313,39,891,Completed
MAB + FinoPay,09-12-2023,AS_Christmas_Bonanza,Merchants,"This December,
Earn big with Christmas Bonanza by promoting FinoPay.
Encourage your customers to maintain their Monthly Average Balance and get commission upto 0.45%.
Refer Merchant Brochure for MAB Scheme.
",31159,30230,11416,61,868,Completed
PMJJBY,09-12-2023,VR_PMJJBY,Merchants,"Pradhan Mantri Jeevann Jyoti Bima Yojana (PMJJBY) is now live on Fino Mitra App.
 Start enrolling your customers.
",30184,29289,10541,131,764,Completed
Balance Buildup,13-12-2023,Balance_Buildup_MAB,Customers,"Maintain Balance of Rs.2000 and above, till 31st December to get a cashback of Rs.25 and a Free BrainGymJr subscription worth ₹ 199. - Fino Payments Bank",22289,21175,8625,18,1096,Completed
Balance Buildup,15-12-2023,Balance_Buildup_MAB,Customers,"Maintain Balance of Rs.2000 and above, till 31st December to get a cashback of Rs.25 and a Free BrainGymJr subscription worth ₹ 199. - Fino Payments Bank",21891,20623,6756,9,1259,Completed
Balance Buildup,15-12-2023,Balance_Buildup_Deb,Customers,**₹2 लाख* तक का बीमा कवर और *₹25* का अतिरिक्त कैशबैक पाने के लिए अपने कार्ड को सक्रिय रखें। साथ ही पाइये एक महीने के लिए ₹199 मूल्य का ब्रेन जिम जुनियर सब्सक्रिप्शन। - फिनो पेमेंट्स बैंक,21892,20570,5273,43,1279,Completed
Christmas Bonanza,15-12-2023,Christmas_Bonanza,Merchants,"This December,
Earn big with Christmas Bonanza by promoting FinoPay.
Encourage your customers to maintain their Monthly Average Balance and get commission upto 0.45%.
Refer Merchant Brochure for MAB Scheme.
",29969,28630,8091,267,1072,Completed
DBTR,18-12-2023,DBTR,Distributors,"Please activate your inactive merchants in this month and earn Rs.100/- on each activation. Higher active base always help to get higher monthly commission. Offer valid for December only for very Selective Business Partners/Distributors. For any assistance or information contact your Relationship Manager, or type ASSIST and send SMS to 7836878368.",83,81,31,1,1,Completed
Bhavishya * Braingym,18-12-2023,Bhavishya_Renewal,Customers,"""""""पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO30* कोड का उपयोग करें ।""""""",14216,13544,3530,7,665,Completed
Bhavishya * Braingym,18-12-2023,Bhavishya_Newly_Onboarded,Customers,"""पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO90* कोड का उपयोग करें ।""",32943,30760,8710,45,2138,Completed
ReKYC through VKYC,19-12-2023,ReKyc_through_VKYC,Customers,"""Dear Customer,
Re-activate your Account with Fino at your convenience.
-> Log in to your account using “FinoPay” Application
-> Click on “Your profile” (Top left corner)
-> Click on “Re-KYC through V-KYC” to complete your KYC at home
And enjoy 1 month FREE “BrainGymJr subscription” worth “Rs.199”""",17715,16701,4070,11,1003,Completed
